Price,Close,High,Low,Open,Volume,MA_22,Sentiment
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,
Date,,,,,,,
2025-06-03,141.21018981933594,141.9901344074345,137.94041273370485,138.77035689954903,225578800,129.1064900484952,Bullish
2025-06-04,141.91014099121094,142.38010956756776,139.53030141372145,142.18012651028872,167120800,130.35276690396395,Bullish
2025-06-05,139.98028564453125,143.99000172763624,138.82036252431462,142.16012695808664,231397900,131.54223008589312,Bullish
2025-06-06,141.7101593017578,143.26005471165655,141.50016717206393,142.50009772583994,153986200,132.82305006547406,Bullish
2025-06-09,142.62010192871094,144.98993249459744,141.9301473949137,143.18006060607402,185114500,133.98524232344195,Bullish
2025-06-10,143.95001220703125,144.279975869788,141.52017297716907,142.68009610535242,155881900,135.1937949440696,Bullish
2025-06-11,142.8300018310547,144.99000549316406,141.8699951171875,144.61000061035156,167694000,136.3841632496227,Bullish
2025-06-12,145.0,145.0,141.85000610351562,141.97000122070312,162365000,137.3845513083718,Bullish
2025-06-13,141.97000122070312,143.5800018310547,140.85000610351562,142.47999572753906,180820600,137.93223433061078,Bullish
2025-06-16,144.69000244140625,146.17999267578125,143.1999969482422,143.35000610351562,183133700,138.35766185413706,Bullish
2025-06-17,144.1199951171875,145.22000122070312,143.77999877929688,144.49000549316406,139108000,138.78036013516513,Bullish
2025-06-18,145.47999572753906,145.64999389648438,143.1199951171875,144.00999450683594,161494100,139.23896928267047,Bullish
2025-06-20,143.85000610351562,146.1999969482422,142.64999389648438,145.4499969482422,242956200,139.61576080322266,Bullish
2025-06-23,144.1699981689453,144.77999877929688,142.02999877929688,142.5,154308900,140.06118496981534,Bullish
2025-06-24,147.89999389648438,147.9600067138672,145.5,145.55999755859375,187566100,140.79341888427734,Bullish
2025-06-25,154.30999755859375,154.4499969482422,149.25999450683594,149.27000427246094,269146500,141.7702012495561,Bullish
2025-06-26,155.02000427246094,156.72000122070312,154.0,155.97999572753906,198145700,142.8492521806197,Bullish
2025-06-27,157.75,158.7100067138672,155.25999450683594,156.0399932861328,263234500,143.86104375665838,Bullish
2025-06-30,157.99000549316406,158.66000366210938,155.9600067138672,158.39999389648438,194580300,144.9151056463068,Bullish
2025-07-01,153.3000030517578,157.1999969482422,151.49000549316406,156.2899932861328,213143600,145.5569083473899,Bullish
2025-07-02,157.25,157.60000610351562,152.97000122070312,152.97999572753906,171224100,146.56278922341087,Bullish
2025-07-03,159.33999633789062,160.97999572753906,157.77000427246094,158.3699951171875,143716100,147.56140414151278,Bullish
2025-07-07,158.24000549316406,159.30999755859375,157.33999633789062,158.1999969482422,140139000,148.33548667214134,Bullish
2025-07-08,160.0,160.22000122070312,158.38999938964844,159.3300018310547,138133000,149.15775299072266,Bullish
2025-07-09,162.8800048828125,164.4199981689453,161.16000366210938,161.22000122070312,183656400,150.19864931973544,Bullish
2025-07-10,164.10000610351562,164.5,161.61000061035156,164.32000732421875,167704100,151.21636962890625,Bullish
2025-07-11,164.9199981689453,167.88999938964844,163.47000122070312,163.72000122070312,193633300,152.23000127618963,Bullish
2025-07-14,164.07000732421875,165.49000549316406,162.02000427246094,165.3699951171875,136975800,153.14454650878906,Bullish
2025-07-15,170.6999969482422,172.39999389648438,169.1999969482422,171.19000244140625,230627400,154.41136446866122,Bullish
2025-07-16,171.3699951171875,171.75,168.89999389648438,171.05999755859375,158831500,155.61000061035156,Bullish
2025-07-17,173.0,174.16000366210938,170.8300018310547,172.02000427246094,160841100,157.0204551003196,Bullish
2025-07-18,172.41000366210938,174.25,171.25999450683594,173.63999938964844,146456400,158.2804551558061,Bullish
2025-07-21,171.3800048828125,173.3800048828125,171.0,172.75,123126100,159.51954650878906,Bullish
2025-07-22,167.02999877929688,171.38999938964844,164.5800018310547,171.33999633789062,193114300,160.49909210205078,Bullish
2025-07-23,170.77999877929688,171.25999450683594,167.97000122070312,169.52999877929688,154082200,161.72318267822266,Bullish
2025-07-24,173.74000549316406,173.8300018310547,171.3000030517578,172.44000244140625,128984600,163.0672739202326,Bullish
2025-07-25,173.5,174.72000122070312,172.9600067138672,173.61000061035156,122073100,164.2309105613015,Bullish
