Price,Close,High,Low,Open,Volume,MA_22,Sentiment
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,
Date,,,,,,,
2025-04-28,108.72245025634766,110.36233572086073,106.01263179735646,109.68238265297498,207708500,,
2025-04-29,109.0124282836914,110.19234667117642,107.43254376799985,107.66252352883211,170444300,,
2025-04-30,108.91243743896484,108.91243743896484,104.07277707156662,104.46274938923446,235044600,,
2025-05-01,111.60224914550781,114.93201970345093,111.29227311666197,113.07214827264656,236121500,,
2025-05-02,114.49205017089844,115.39198920893173,113.36213137411846,114.17207269391602,190194800,,
2025-05-05,113.81209564208984,114.6620350893898,112.65218016349414,112.90216280263321,133163200,,
2025-05-06,113.53211975097656,114.73203340369881,110.81230733401684,111.47226518321953,158525600,,
2025-05-07,117.05187225341797,117.67183196470502,112.27220526080853,113.04215608614977,206758800,,
2025-05-08,117.36185455322266,118.67176116768113,115.84195580422112,118.24179071447391,198428100,,
2025-05-09,116.64189910888672,118.2217911942619,115.20199668891294,117.34184743589364,132972200,,
2025-05-12,122.99146270751953,122.99146270751953,120.27165027906005,121.96153541928634,225023300,,
2025-05-13,129.9209747314453,131.21089374180312,124.46136223351174,124.97132897244262,330430100,,
2025-05-14,135.33059692382812,135.43059608188196,131.67084745036084,133.19074615794872,281180800,,
2025-05-15,134.8206329345703,136.29053200968949,132.65078555171073,134.2806619130786,226632600,,
2025-05-16,135.39059448242188,136.34054073998118,133.45074197294815,136.21054488205627,226542500,,
2025-05-19,135.5605926513672,135.86055961165334,132.38080555276906,132.38080555276906,193154600,,
2025-05-20,134.37066650390625,134.5706495538956,132.610779045451,134.28066116234166,161514200,,
2025-05-21,131.7908477783203,137.39044962876582,130.58092511560693,133.0507547616815,270608700,,
2025-05-22,132.82078552246094,134.2406851659139,131.54087555490528,132.22082104991222,187344000,,
2025-05-23,131.2808837890625,132.67078673422913,129.15104195341007,129.99098000853303,198821300,,
2025-05-27,135.49058532714844,135.65057787204648,133.300735049259,134.14067302338051,192953600,,
2025-05-28,134.80064392089844,137.24047706552236,134.7806410364111,136.0205604932104,304021100,123.89594199440695,Bullish
2025-05-29,139.1803436279297,143.48004828952517,137.90043367160317,142.24012884407688,369241900,125.28039169311523,Bullish
2025-05-30,135.12062072753906,139.61029915281162,132.91076748843994,138.7103677567503,333170900,126.46712771329013,Bullish
2025-06-02,137.37046813964844,138.11040700485356,135.39059460313518,135.48059995132564,197663100,127.7606745633212,Bullish
