Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2025-07-25 13:30:00+00:00,173.2899932861328,173.9250030517578,173.2100067138672,173.61500549316406,5408939
2025-07-25 13:32:00+00:00,173.14999389648438,173.4499969482422,172.96499633789062,173.2904052734375,1355600
2025-07-25 13:34:00+00:00,173.55990600585938,173.60499572753906,173.1302032470703,173.13999938964844,1125213
2025-07-25 13:36:00+00:00,173.10000610351562,173.5800018310547,173.0749969482422,173.55999755859375,963762
2025-07-25 13:38:00+00:00,173.16000366210938,173.1999969482422,172.97000122070312,173.1092987060547,992463
2025-07-25 13:40:00+00:00,173.1199951171875,173.1649932861328,173.0,173.16000366210938,901139
2025-07-25 13:42:00+00:00,173.39500427246094,173.41990661621094,173.07000732421875,173.11000061035156,1032358
2025-07-25 13:44:00+00:00,173.48880004882812,173.5850067138672,173.32000732421875,173.39500427246094,885237
2025-07-25 13:46:00+00:00,173.61639404296875,173.63999938964844,173.33999633789062,173.49000549316406,830538
2025-07-25 13:48:00+00:00,173.58999633789062,173.77999877929688,173.51499938964844,173.625,922763
2025-07-25 13:50:00+00:00,173.6114959716797,173.64999389648438,173.39999389648438,173.5850067138672,926475
2025-07-25 13:52:00+00:00,173.9499969482422,173.9600067138672,173.5800018310547,173.6116943359375,1579682
2025-07-25 13:54:00+00:00,174.39500427246094,174.47999572753906,173.88999938964844,173.97000122070312,2423135
2025-07-25 13:56:00+00:00,174.3350067138672,174.5500030517578,174.27999877929688,174.39959716796875,1774508
2025-07-25 13:58:00+00:00,174.28500366210938,174.4799041748047,174.25,174.3350067138672,1204858
2025-07-25 14:00:00+00:00,174.4499969482422,174.5,174.2451934814453,174.27999877929688,1127292
2025-07-25 14:02:00+00:00,174.5756072998047,174.63499450683594,174.2801055908203,174.4550018310547,1514992
2025-07-25 14:04:00+00:00,174.4499969482422,174.6699981689453,174.4149932861328,174.57870483398438,1015170
2025-07-25 14:06:00+00:00,174.52000427246094,174.72000122070312,174.38839721679688,174.4499969482422,1333911
2025-07-25 14:08:00+00:00,174.52999877929688,174.5500030517578,174.27000427246094,174.52000427246094,1047044
2025-07-25 14:10:00+00:00,174.3699951171875,174.53500366210938,174.30999755859375,174.53500366210938,655644
2025-07-25 14:12:00+00:00,174.05499267578125,174.4199981689453,174.00999450683594,174.35499572753906,939063
2025-07-25 14:14:00+00:00,174.10000610351562,174.17999267578125,174.02000427246094,174.02999877929688,560990
2025-07-25 14:16:00+00:00,174.01539611816406,174.12069702148438,173.9199981689453,174.10000610351562,901759
2025-07-25 14:18:00+00:00,174.19119262695312,174.22999572753906,173.8800048828125,174.00999450683594,875098
2025-07-25 14:20:00+00:00,174.1750030517578,174.25999450683594,174.10000610351562,174.1959991455078,549989
2025-07-25 14:22:00+00:00,174.08970642089844,174.24000549316406,174.00999450683594,174.17010498046875,473891
2025-07-25 14:24:00+00:00,174.14999389648438,174.17999267578125,174.0800018310547,174.13819885253906,354089
2025-07-25 14:26:00+00:00,174.36880493164062,174.3800048828125,174.13999938964844,174.13999938964844,4122000
2025-07-25 14:28:00+00:00,174.46189880371094,174.4949951171875,174.34500122070312,174.3699951171875,740224
2025-07-25 14:30:00+00:00,174.36630249023438,174.6197052001953,174.35499572753906,174.46820068359375,929116
2025-07-25 14:32:00+00:00,174.52130126953125,174.5653076171875,174.35000610351562,174.3582000732422,636513
2025-07-25 14:34:00+00:00,174.5482940673828,174.67999267578125,174.4550018310547,174.52499389648438,494565
2025-07-25 14:36:00+00:00,174.37179565429688,174.5399932861328,174.37179565429688,174.53500366210938,476525
2025-07-25 14:38:00+00:00,174.2781982421875,174.39500427246094,174.24000549316406,174.37989807128906,534200
2025-07-25 14:40:00+00:00,174.28819274902344,174.30999755859375,174.1649932861328,174.27520751953125,558261
2025-07-25 14:42:00+00:00,174.3000030517578,174.3300018310547,174.16000366210938,174.27999877929688,495849
2025-07-25 14:44:00+00:00,174.13499450683594,174.3300018310547,174.12120056152344,174.3000030517578,497978
2025-07-25 14:46:00+00:00,174.2899932861328,174.3350067138672,174.1199951171875,174.13009643554688,606538
2025-07-25 14:48:00+00:00,174.2299041748047,174.37989807128906,174.2200927734375,174.27999877929688,370208
2025-07-25 14:50:00+00:00,174.1199951171875,174.27999877929688,174.1199951171875,174.22000122070312,478634
2025-07-25 14:52:00+00:00,174.0399932861328,174.125,173.9700927734375,174.1199951171875,739869
2025-07-25 14:54:00+00:00,173.9199981689453,174.0500030517578,173.85000610351562,174.04600524902344,747332
2025-07-25 14:56:00+00:00,174.01499938964844,174.0399932861328,173.7899932861328,173.9199981689453,812469
2025-07-25 14:58:00+00:00,174.0449981689453,174.07000732421875,173.94000244140625,174.02000427246094,451584
2025-07-25 15:00:00+00:00,173.86500549316406,174.0800018310547,173.84500122070312,174.0500030517578,550078
2025-07-25 15:02:00+00:00,173.80999755859375,173.8800048828125,173.63999938964844,173.8675994873047,781920
2025-07-25 15:04:00+00:00,173.875,173.91819763183594,173.8000946044922,173.80499267578125,391310
2025-07-25 15:06:00+00:00,173.8300018310547,173.97999572753906,173.80999755859375,173.8800048828125,476482
